iter,total_num_steps,fps,entropy,value_loss,action_loss,mean_rew,median_rew,min_rew,max_rew
1,50000,578,2.5659984201192856,2.118702983142187,0.004813193290436857,19.3071025,19.3071025,17.638092,20.976113
2,100000,577,2.5659984201192856,0.6856003305253883,-0.025590696970963715,17.1783605,17.1783605,16.671929,17.684792
3,150000,577,2.5659984201192856,0.8363264055301746,-0.04037919189840977,19.59032,19.59032,15.875792,23.304848
4,200000,577,2.5659984201192856,1.1726250525563955,-0.03928351383625947,19.5016825,19.5016825,17.296308,21.707057
5,250000,579,2.5659984201192856,1.4586268675824006,-0.03672054811377166,25.644485,25.644485,20.122101,31.166869
6,300000,581,2.5659984201192856,1.6889571649332842,-0.030838984440075972,20.6890255,20.6890255,19.36726,22.010791
7,350000,582,2.5659984201192856,2.892029371360938,-0.026460672935627372,32.0792895,32.0792895,28.032888,36.125691
8,400000,583,2.5659984201192856,4.685711759825548,-0.028094031940509013,43.959025499999996,43.959025499999996,24.981825,62.936226
9,450000,583,2.5659984201192856,6.907883830865225,-0.02506293888761017,35.309695500000004,35.309695500000004,32.112457,38.506934
10,500000,584,2.5659984201192856,7.539187880357106,-0.02412665929281559,38.082124,38.082124,37.961516,38.202732
11,550000,584,2.5659984201192856,7.069998400410016,-0.02082973732917708,58.2210545,58.2210545,42.861109,73.581
12,600000,585,2.5659984201192856,5.149811553458373,-0.013248379741586309,66.94814,66.94814,59.387766,74.508514
13,650000,586,2.5659984201192856,4.186696686098973,-0.012037392758096151,81.278055,81.278055,72.983599,89.572511
14,700000,586,2.5659984201192856,4.6932616755366325,-0.011199571016186382,68.763646,68.763646,48.854642,88.67265
15,750000,587,2.5659984201192856,5.548343592385451,-0.011293071466385148,95.6838885,95.6838885,55.119011,136.248766
16,800000,588,2.5659984201192856,5.907553452750047,-0.01176179730171043,83.79974100000001,83.79974100000001,73.491038,94.108444
17,850000,587,2.5659984201192856,5.164294782529274,-0.01334105815858493,59.8426485,59.8426485,34.194091,85.491206
18,900000,588,2.5659984201192856,5.979353974262874,-0.00967422754686235,76.646188,76.646188,74.350187,78.942189
19,950000,588,2.5659984201192856,4.7900352224707605,-0.007363001136316901,73.877591,73.877591,70.420985,77.334197
20,1000000,588,2.5659984201192856,4.231558438390493,-0.008451558146634851,109.156611,109.156611,88.4467,129.866522
21,1050000,589,2.5659984201192856,4.362861031169692,-0.007765607855799317,99.593051,99.593051,98.022508,101.163594
22,1100000,589,2.5659984201192856,3.701276599864165,-0.01007194682148717,105.0864715,105.0864715,78.948769,131.224174
23,1150000,589,2.5659984201192856,2.7944666740794974,-0.005902369421251782,124.588672,124.588672,90.949653,158.227691
24,1200000,590,2.5659984201192856,1.938836220589777,-0.007156834693796554,88.6935455,88.6935455,80.55928,96.827811
25,1250000,590,2.5659984201192856,2.275796403363347,-0.007622957842962326,89.837478,89.837478,82.629463,97.045493
26,1300000,590,2.5659984201192856,2.2167522170891365,-0.008265066705094644,110.1943115,110.1943115,101.269167,119.119456
27,1350000,590,2.5659984201192856,2.399717444802324,-0.005030673392260117,108.65905950000001,108.65905950000001,96.163295,121.154824
28,1400000,591,2.5659984201192856,3.5601089101284744,-0.0011885529347712995,96.31103949999999,96.31103949999999,70.833786,121.788293
29,1450000,591,2.5659984201192856,3.3115164881572126,-0.0033739885444504123,102.632352,102.632352,93.657601,111.607103
30,1500000,591,2.5659984201192856,3.1287902363886437,-0.007339845088517904,119.666973,119.666973,113.253415,126.080531
31,1550000,591,2.5659984201192856,2.7229063134640454,-0.005797970718087224,98.808074,98.808074,45.540682,152.075466
32,1600000,591,2.5659984201192856,2.672314660809934,-0.009235547803958374,129.03474450000002,129.03474450000002,84.070057,173.999432
33,1650000,591,2.5659984201192856,3.25719050342838,-0.011264075504671685,172.2278375,172.2278375,157.399398,187.056277
34,1700000,591,2.5659984201192856,2.7316292288402715,-0.005958693778848101,164.53546799999998,164.53546799999998,148.747225,180.323711
35,1750000,591,2.5659984201192856,3.2627310243745646,-0.01125143102100689,141.683213,141.683213,141.070147,142.296279
36,1800000,591,2.5659984201192856,2.609903190905849,-0.0054043887487788805,393.135581,393.135581,257.945125,528.326037
37,1850000,591,2.5659984201192856,1.3882801233480373,0.023798492549281035,669.16023,669.16023,484.11187,854.20859
38,1900000,591,2.5659984201192856,6.590567178030809,0.0002011635854917889,179.4522895,179.4522895,74.975749,283.92883
39,1950000,592,2.5659984201192856,3.83507911786437,-0.005624610088375448,773.5362494999999,773.5362494999999,685.337017,861.735482
40,2000000,592,2.5659984201192856,5.462238197525342,-0.013273401558156669,463.898489,463.898489,71.865324,855.931654
41,2050000,592,2.5659984201192856,3.4170080793400603,-0.01360913727918766,190.770336,190.770336,174.53914,207.001532
42,2100000,592,2.5659984201192856,2.152647890150547,-0.008683577541554162,654.3004035,654.3004035,460.624979,847.975828
43,2150000,592,2.5659984201192856,0.8662798998877406,0.007142802601496593,857.344064,857.344064,853.242049,861.446079
44,2200000,592,2.5659984201192856,2.311490074079484,-0.0018594246873628133,842.64738,842.64738,841.661013,843.633747
45,2250000,592,2.5659984201192856,1.1457918287875752,0.005297664793473208,474.699664,474.699664,88.314809,861.084519
46,2300000,592,2.5659984201192856,2.056117443336795,-0.008354538097319165,868.231128,868.231128,862.25162,874.210636
47,2350000,592,2.5659984201192856,1.1958170214512696,-0.00029748217319252034,495.56967299999997,495.56967299999997,129.012883,862.126463
48,2400000,592,2.5659984201192856,1.9709993719433745,-0.004032130861178255,872.015371,872.015371,861.474054,882.556688
