# {"t_start": 1589491546.937933, "env_id": "Walker2DBulletEnv-v0"} 
r,l,t
13.680568,7,12.298097
17.73717,12,12.335079
16.467638,12,12.372046
18.149107,11,12.405228
12.731813,7,12.426805
17.993491,12,12.472301
15.596913,10,12.503115
16.65121,12,12.539634
19.972766,13,12.58022
17.952096,12,12.616313
17.424655,12,12.652115
13.222724,7,12.674126
15.524202,10,12.703876
24.067507,19,12.760849
17.561216,13,12.799685
19.684621,13,12.841773
16.696789,11,12.875981
14.706693,9,12.903234
15.48411,12,12.938598
13.895215,9,12.966719
18.755515,12,13.003416
16.755444,10,13.034714
13.78621,7,13.056843
16.767173,12,13.099022
15.754283,10,13.129952
13.289755,9,13.15831
12.998844,7,13.17938
20.643681,16,13.233815
14.339807,8,13.262022
16.450034,10,13.292289
15.031661,12,13.329759
20.069429,14,13.372226
15.619887,9,13.398983
15.798536,9,13.425991
18.681139,12,13.47071
19.302903,14,13.514031
16.509471,12,13.549361
15.808751,9,13.57752
20.462992,15,13.623826
18.038536,11,13.658204
15.664975,9,13.685626
19.055884,12,13.722132
19.297812,12,13.75903
22.319122,16,13.807192
16.392699,10,13.837644
13.897296,8,13.862785
18.132808,13,13.900961
17.930465,12,13.936253
19.215789,15,13.982237
19.329126,15,14.028551
14.378332,10,14.059788
18.07479,12,14.098658
15.789665,10,14.132104
18.048868,11,14.168057
17.326093,12,14.204685
14.340461,8,14.228669
16.6136,10,14.259469
19.846155,15,14.305084
15.520707,9,14.332167
18.694924,14,14.375151
15.38501,9,14.402098
14.396493,8,14.426068
16.52955,10,14.456959
17.369822,13,14.502935
14.581025,10,14.533315
17.187641,12,14.571057
17.461676,12,14.60799
15.677102,9,14.636067
15.941996,11,14.670742
16.608402,10,14.70181
15.118674,9,14.729037
20.113375,14,14.77171
18.870337,14,14.814786
22.084272,16,14.864611
20.017881,15,14.910944
15.806701,10,14.940344
16.392391,10,14.970649
16.245919,10,15.001186
16.909587,13,15.040651
21.023966,15,15.086114
17.488895,11,15.126113
16.742306,11,15.161504
14.098014,10,15.193608
18.114219,13,15.234118
17.755568,11,15.268655
17.428378,13,15.309537
16.689609,12,15.347642
14.864569,8,15.371924
15.960308,10,15.401819
17.346114,10,15.432001
18.751618,14,15.474554
22.041927,15,15.52727
17.163335,10,15.557148
18.03473,12,15.592999
15.986377,11,15.629762
17.633704,12,15.677202
18.828851,13,15.718887
15.620822,8,15.744137
15.972686,10,15.774666
16.228449,11,15.80789
16.427114,12,15.842635
18.077471,12,15.878832
17.725223,15,15.923751
17.089837,15,15.970511
12.688587,7,15.991952
18.942954,12,16.029054
19.341995,15,16.07412
15.602103,10,16.104192
14.974753,8,16.133965
16.19484,10,16.164135
19.459083,14,16.207015
16.292571,9,16.233874
16.761231,12,16.270543
15.848934,10,16.301624
16.574811,12,16.339849
17.24942,12,16.377634
15.512599,10,16.407998
18.645163,13,16.449506
14.822275,8,16.474632
18.049841,12,16.513349
19.013513,12,16.555744
14.978134,12,16.592044
17.768106,15,16.639079
16.761877,13,16.678207
18.812727,14,16.720998
14.144208,8,16.74485
16.832276,10,16.775285
18.983633,15,16.822668
16.411631,10,16.853026
16.014532,10,16.88433
17.472022,12,16.920423
15.320776,9,16.948083
18.183518,12,16.985078
16.571146,12,17.021198
18.377167,14,17.063989
15.329753,8,17.087425
15.512035,11,17.11999
17.376586,10,17.155461
15.963961,11,17.189223
17.590309,16,17.238411
17.550805,10,17.268066
20.343912,14,17.311193
17.09468,13,17.351522
19.680012,14,17.394276
16.224083,10,17.425689
15.031108,9,17.453248
14.168899,9,17.480273
16.497641,10,17.511243
16.418443,10,17.545134
16.419527,12,17.584301
18.16964,12,17.621036
16.364975,9,17.648557
18.750206,13,17.688974
18.03194,10,17.723385
14.701198,11,17.761563
15.144064,9,17.789793
19.020889,14,17.83312
16.761273,12,17.86977
17.511338,12,17.907317
18.056997,11,17.940058
16.597569,12,17.977929
19.285803,14,18.021765
17.104581,13,18.061061
15.388314,10,18.091599
17.710707,12,18.128
19.242778,13,18.172121
16.714636,10,18.203461
15.553517,10,18.233662
19.119875,13,18.272152
17.290029,13,18.311259
17.249515,11,18.345647
18.249775,12,18.382588
16.195345,10,18.413188
16.539218,14,18.457121
20.009299,14,18.499345
19.352686,12,18.536028
15.811107,9,18.566682
16.810878,10,18.600139
17.997427,12,18.636087
15.651851,9,18.66351
17.98519,11,18.696246
18.167259,12,18.732288
16.327441,10,18.762162
23.08591,17,18.813606
20.951211,16,18.861146
21.317769,16,18.908487
17.456834,10,18.939023
15.616864,10,18.969595
14.886863,11,19.004015
17.451653,12,19.040433
17.534473,12,19.076802
13.747457,8,19.102041
18.964907,14,19.144519
19.36259,15,19.195778
18.206367,14,19.244793
16.731528,10,19.281106
14.62156,8,19.307267
17.403366,11,19.340398
18.416007,12,19.376836
16.099708,10,19.408275
18.501703,14,19.450389
15.970384,10,19.481938
22.253851,15,19.528713
18.211466,13,19.568359
16.81839,12,19.611577
18.061656,11,19.645023
19.618771,13,19.683887
20.934741,16,19.732161
15.413913,9,19.758682
17.366271,12,19.794943
17.297306,12,19.830582
14.614407,10,19.861028
18.195521,11,19.894128
19.257027,13,19.93301
19.177259,14,19.975181
22.160469,17,20.027722
19.482864,14,20.072851
16.172066,11,20.107785
17.283083,15,20.152939
15.903324,9,20.18603
17.441735,10,20.215891
15.835756,10,20.245704
16.340142,11,20.278959
15.798051,12,20.315363
18.114249,12,20.35083
20.835075,15,20.395978
15.379827,10,20.425993
16.656942,10,20.455235
17.890693,11,20.48728
15.134474,9,20.51466
18.511123,13,20.554272
20.856336,15,20.604312
19.466022,12,20.646779
18.313707,13,20.684888
15.958897,10,20.715114
16.551759,10,20.745743
14.874358,10,20.777225
15.758603,9,20.806197
16.48587,11,20.840918
17.537168,11,20.874653
16.484419,10,20.90505
16.134207,10,20.935038
14.345412,9,20.961494
15.106355,9,20.988195
20.691345,15,21.033317
17.627957,11,21.067051
15.610083,10,21.097071
17.967351,12,21.133875
17.642562,10,21.166131
15.165869,9,21.201721
15.687694,9,21.228878
21.149405,15,21.280241
15.531912,11,21.31586
16.085357,11,21.348626
17.890541,13,21.388755
17.162828,11,21.422554
14.886627,9,21.450126
14.91038,10,21.479779
17.93337,13,21.518317
20.071964,13,21.556783
15.981597,11,21.590851
18.479744,13,21.637878
17.622245,14,21.680368
24.440265,20,21.746737
16.153349,13,21.791742
17.232549,11,21.824641
