# {"t_start": 1589491546.9316487, "env_id": "Walker2DBulletEnv-v0"} 
r,l,t
18.472176,14,13.056472
14.970745,9,13.084573
16.257087,10,13.121094
18.553544,12,13.157521
16.46803,11,13.192018
16.119467,11,13.229555
15.65516,9,13.260897
19.013704,13,13.302114
15.527233,9,13.329058
16.147372,12,13.365502
15.502535,9,13.393225
16.593031,11,13.425963
19.588188,13,13.471938
19.493243,12,13.510463
15.228775,8,13.535044
18.303623,11,13.568773
17.913414,12,13.605402
17.99988,12,13.642777
17.855964,13,13.682668
15.707969,9,13.709992
20.198599,17,13.761539
16.672434,10,13.792172
17.724918,12,13.828573
18.165384,11,13.862447
20.823766,15,13.907245
19.275417,14,13.948899
16.904763,10,13.97939
18.454399,15,14.025366
17.338566,11,14.059156
21.871672,15,14.110249
17.843142,12,14.147642
15.18812,10,14.180814
18.305125,12,14.217304
18.308788,12,14.253466
17.662551,11,14.28738
18.718442,12,14.323497
21.407856,17,14.374855
13.92233,8,14.399096
16.273309,12,14.43573
22.110649,16,14.487794
15.307809,8,14.515742
16.056547,13,14.555407
16.62738,12,14.592248
14.058859,8,14.617855
17.377611,12,14.654513
16.054974,12,14.692374
21.784598,17,14.744764
18.12393,14,14.787388
17.120896,10,14.817369
17.246617,11,14.851575
20.535358,17,14.904719
27.659988,24,14.976933
15.160017,9,15.003782
17.968684,11,15.037171
16.285003,12,15.074166
16.017758,9,15.10178
15.499208,10,15.139045
16.962247,11,15.175695
19.884339,14,15.218921
16.288738,11,15.253309
16.027914,9,15.281728
15.960194,10,15.312401
16.869728,11,15.347472
20.386287,15,15.393233
18.411496,12,15.428938
18.497491,13,15.468221
17.502637,13,15.514842
19.194265,12,15.551388
18.691297,12,15.587496
16.251768,10,15.618057
16.532116,10,15.65817
14.115579,8,15.686834
13.674615,9,15.715239
15.177835,10,15.746485
14.484747,8,15.771395
14.936599,10,15.801264
24.092614,20,15.860947
15.952751,13,15.900037
23.12711,16,15.948261
17.194485,12,15.986194
16.427711,9,16.0133
18.751323,12,16.050809
19.203937,14,16.09237
21.350677,16,16.146614
16.410441,11,16.17965
15.505712,9,16.206831
14.07529,8,16.230836
18.315984,13,16.270535
17.116492,13,16.311859
15.690789,9,16.33945
19.190103,13,16.380496
22.24163,17,16.43509
16.832515,11,16.468086
15.892022,10,16.49882
22.253717,16,16.55508
15.258635,10,16.58649
23.129507,16,16.635406
16.51923,10,16.66627
14.955147,8,16.690876
15.107744,9,16.718061
19.808875,13,16.757099
14.907622,9,16.785548
18.024564,11,16.819063
18.020191,13,16.85931
21.242618,16,16.908758
16.577514,10,16.939118
13.61674,9,16.966816
16.4036,12,17.003292
15.654059,10,17.033798
14.356817,11,17.06615
16.386231,9,17.093709
16.634041,14,17.138618
20.553172,16,17.189067
14.453215,9,17.217514
14.248595,8,17.241099
16.801155,11,17.274347
15.930162,9,17.301715
15.753741,10,17.332791
20.209595,14,17.376525
16.25028,13,17.416532
17.36325,10,17.447302
23.846162,22,17.514127
12.864394,8,17.538421
18.438156,16,17.593985
18.585672,11,17.62732
19.709597,12,17.664576
17.947282,11,17.698751
20.554929,13,17.7438
14.902551,9,17.775332
14.807275,8,17.799573
16.812067,11,17.831707
15.531426,10,17.863498
17.763738,12,17.901313
16.172513,10,17.93158
15.978351,11,17.964961
15.795636,8,17.990736
14.472283,9,18.018439
17.286789,12,18.055068
13.762308,7,18.07705
20.829094,14,18.119076
14.763022,9,18.147735
23.812905,18,18.206154
15.423847,10,18.236451
19.538029,13,18.27496
15.36876,9,18.302109
15.863542,10,18.332707
18.228234,13,18.37366
17.06224,11,18.40738
16.236326,9,18.435441
15.0977,8,18.459831
14.727601,9,18.487065
23.263453,17,18.538577
17.182599,11,18.578085
17.87773,13,18.61896
18.191964,15,18.663347
19.055709,13,18.702533
16.570813,14,18.744972
15.558825,9,18.771984
14.155006,9,18.798175
17.791416,11,18.831669
16.347686,12,18.86743
21.518351,16,18.914771
14.458122,9,18.94152
21.431617,18,18.997906
16.351305,14,19.040348
16.086592,10,19.070786
17.094496,11,19.104263
17.61275,14,19.147269
16.932723,11,19.186227
15.355939,9,19.216702
19.094472,18,19.279795
22.265557,17,19.334884
15.413545,9,19.361852
13.823714,8,19.386158
14.802024,9,19.414556
14.729875,11,19.447477
17.695639,12,19.484713
20.035069,13,19.525062
18.64819,14,19.567889
19.488142,14,19.617861
17.672789,11,19.651307
15.709904,9,19.678102
16.55339,10,19.708004
14.639575,8,19.731968
17.737045,15,19.777083
18.592459,14,19.819237
16.62694,10,19.849225
16.912014,12,19.885416
12.913718,7,19.907104
16.377374,11,19.939294
16.773201,11,19.972015
15.733799,10,20.00257
17.712008,11,20.038119
16.121366,10,20.069358
16.921646,11,20.103366
18.193899,14,20.146876
18.191298,11,20.185516
19.078948,12,20.222175
19.800601,14,20.26393
21.183964,15,20.30885
17.484762,10,20.339334
15.400977,9,20.366304
18.315223,12,20.402262
14.048711,8,20.42584
18.442485,12,20.461519
17.182354,12,20.497067
15.019266,9,20.524371
15.466376,10,20.554342
18.62971,12,20.591635
15.667187,9,20.627311
16.498972,10,20.659364
16.815553,11,20.691173
16.617198,11,20.72486
13.333214,8,20.748445
15.559372,9,20.777194
16.677193,11,20.811458
18.175909,11,20.847206
21.945231,19,20.905068
16.864885,10,20.934536
15.684475,10,20.964356
16.328822,12,21.000716
16.008054,11,21.033317
17.699094,11,21.066887
20.609911,15,21.112814
19.253234,13,21.154051
16.494601,10,21.192322
18.060738,12,21.228755
16.961244,12,21.269079
18.454344,11,21.306086
13.123098,8,21.331314
16.836175,10,21.361237
15.81223,10,21.391556
15.865705,9,21.419506
17.571403,11,21.452908
21.260417,17,21.503945
16.473285,10,21.53363
15.73345,9,21.559632
15.811681,9,21.587687
16.863394,9,21.616024
16.685507,12,21.659394
16.530434,11,21.693259
16.901623,11,21.728987
15.339674,11,21.767159
16.616007,13,21.810264
19.845175,13,21.849161
13.951391,8,21.87357
18.414404,14,21.916127
16.112644,9,21.943156
14.758175,8,21.967242
17.913003,13,22.007219
16.108105,10,22.038211
19.51673,14,22.087285
17.037915,12,22.125466
15.027821,8,22.149153
15.521198,9,22.17777
18.603274,15,22.232845
20.104201,14,22.275284
18.57276,13,22.315141
14.54507,8,22.340107
18.346124,12,22.377273
17.959731,13,22.416202
20.441002,16,22.462712
15.511736,11,22.496628
19.03647,14,22.537321
15.935986,11,22.570951
17.346078,11,22.604403
19.829204,13,22.646351
17.961,11,22.684479
18.330925,12,22.722224
17.103913,13,22.768086
17.188619,11,22.804349
20.474539,16,22.852919
15.438061,9,22.882458
18.099362,12,22.918981
17.919284,12,22.954829
16.15709,9,22.982145
17.282383,12,23.019433
13.869145,10,23.051118
17.069615,11,23.085096
18.897574,12,23.121173
18.652457,15,23.16576
15.86024,11,23.200539
15.996718,11,23.240093
14.430283,8,23.264261
16.364301,12,23.302222
18.830488,13,23.343498
20.891298,15,23.390304
16.743099,11,23.423143
18.109074,12,23.459298
15.484618,11,23.493312
16.8855,11,23.52675
16.880053,12,23.562879
19.07138,14,23.605676
18.092723,13,23.646102
17.098826,11,23.68847
20.004977,14,23.731533
16.319634,12,23.768409
19.707689,12,23.805163
18.667899,12,23.842712
16.352773,9,23.871122
22.434467,17,23.922429
17.859891,12,23.95815
15.669828,9,23.988845
19.84664,14,24.032204
21.167209,15,24.07669
19.363745,12,24.113675
14.372577,9,24.140894
13.959205,9,24.171503
18.401952,12,24.215008
18.147745,14,24.261332
16.981818,12,24.297498
15.361094,9,24.324583
14.880122,11,24.357699
18.559578,14,24.400131
15.052307,9,24.428133
17.267197,11,24.460838
14.798833,9,24.487907
18.299074,11,24.521408
17.341782,11,24.554862
16.094423,10,24.585301
17.800556,12,24.622252
16.679916,10,24.652479
17.308521,15,24.707913
19.078548,14,24.750731
19.195697,12,24.787126
20.607508,14,24.829278
20.09001,15,24.875242
18.625588,11,24.908157
15.326033,9,24.934945
17.88326,13,24.978793
20.908288,16,25.041699
18.326044,12,25.0781
16.126808,9,25.106314
16.037451,10,25.135027
15.621016,9,25.163814
18.294324,11,25.197357
16.296744,10,25.231418
16.544311,14,25.275321
18.531629,12,25.312175
19.440417,15,25.357125
16.823719,13,25.399122
17.027917,11,25.440806
16.53677,12,25.477718
13.08022,7,25.499259
20.021789,13,25.539138
16.871352,11,25.572829
15.852795,10,25.602102
16.472915,10,25.633056
17.698278,11,25.666846
22.526115,14,25.713632
18.213987,12,25.753414
21.603801,16,25.801399
16.485699,10,25.83201
18.857262,13,25.871474
15.441007,9,25.89815
17.285997,11,25.931425
16.541579,12,25.968129
15.71918,11,26.002314
18.291684,12,26.048586
19.899439,13,26.093825
14.779341,9,26.125071
18.008805,12,26.16225
13.683861,10,26.192987
16.804977,10,26.222707
17.523172,12,26.263958
15.405516,9,26.291132
16.325973,10,26.321427
14.12278,9,26.348277
16.414199,14,26.390263
15.735086,9,26.418561
20.34288,15,26.463427
14.45126,9,26.491659
17.326517,12,26.527647
16.071935,10,26.558614
20.891161,14,26.602534
16.345798,9,26.631212
16.975317,11,26.665002
22.889371,17,26.715446
16.486192,10,26.754053
18.486061,13,26.792867
16.702659,10,26.824893
18.468096,13,26.865408
21.443552,15,26.914732
13.784624,10,26.944712
16.004178,11,26.977652
17.933274,11,27.01181
22.568056,17,27.070101
14.498927,9,27.102499
18.802936,16,27.15137
17.517544,12,27.187371
18.666682,17,27.238109
19.273695,15,27.296081
17.352559,10,27.327973
16.548136,11,27.361331
17.447447,12,27.398066
17.84128,16,27.446166
15.490878,9,27.475258
14.04926,11,27.508664
15.423967,9,27.535507
16.149788,9,27.563242
15.075225,10,27.594304
14.166964,9,27.621737
15.894696,9,27.648668
15.508797,10,27.678511
14.744976,8,27.703588
19.22022,14,27.746245
15.718903,9,27.78161
18.648007,12,27.818004
16.826577,9,27.845158
18.943914,13,27.884639
18.852641,14,27.927241
14.282519,8,27.95146
17.412851,13,27.990652
21.167679,17,28.044103
16.549987,10,28.07478
17.362207,10,28.106377
17.959757,13,28.146982
15.995293,10,28.17778
16.345164,10,28.208195
13.61046,8,28.232423
17.102915,11,28.269043
16.879752,11,28.304168
15.839302,10,28.33492
15.942286,9,28.363618
15.997591,11,28.397156
15.582819,9,28.426707
18.709247,11,28.460077
15.014968,10,28.489628
17.271347,12,28.526093
19.992673,14,28.567895
14.097615,8,28.593321
16.043253,11,28.628359
13.629404,9,28.655228
17.155643,10,28.686293
15.982441,12,28.723035
18.17842,11,28.756124
14.408079,10,28.797073
18.433957,13,28.838647
16.571808,10,28.869063
15.703735,11,28.902074
18.866948,12,28.938612
17.104362,11,28.9738
17.609975,12,29.011166
15.59389,10,29.042308
21.967882,15,29.087466
16.827619,10,29.119224
15.958031,9,29.145894
15.64847,10,29.176285
22.575808,16,29.226817
18.079105,12,29.26388
15.507896,9,29.296227
18.3465,12,29.33324
14.644594,8,29.35742
14.356947,9,29.392704
15.968841,10,29.424636
15.182375,9,29.453703
16.563934,11,29.488124
15.535616,10,29.519609
15.71535,11,29.553451
17.513043,11,29.587065
15.523952,9,29.616098
20.405751,13,29.656988
16.327446,11,29.691797
18.388636,16,29.747602
16.74609,10,29.777816
18.451146,13,29.824964
15.192472,11,29.858333
20.240696,14,29.903236
16.361507,10,29.939519
16.853893,13,29.985729
15.168794,9,30.01523
18.473535,12,30.053231
15.144007,8,30.077766
16.978338,10,30.12062
16.911351,11,30.159684
18.325103,13,30.200306
13.955638,8,30.22555
16.54158,13,30.266484
17.616732,13,30.311447
18.541643,11,30.345138
21.150189,15,30.390219
23.304597,19,30.448154
17.609366,11,30.487028
17.216044,11,30.524778
15.953926,14,30.568753
18.720666,12,30.60576
18.127451,13,30.646627
21.145502,14,30.68872
18.432876,11,30.722818
15.931781,11,30.761508
16.238086,11,30.797079
13.094596,7,30.82409
18.193811,13,30.86654
17.600438,11,30.900665
16.838268,12,30.937595
22.748817,16,30.985476
15.32551,10,31.015856
19.527995,13,31.055771
18.514207,12,31.093945
17.176185,12,31.132234
20.011608,14,31.176173
17.604224,13,31.218238
13.950127,9,31.245446
18.962721,13,31.284567
16.668843,13,31.330794
19.589539,15,31.378407
17.901784,12,31.415005
19.083041,13,31.454226
20.677415,16,31.502672
15.341825,12,31.54081
17.893872,11,31.574197
15.005608,9,31.602257
18.345074,12,31.640898
14.040201,8,31.665684
18.517888,13,31.710645
20.017313,15,31.76362
14.950297,9,31.794931
17.45851,11,31.829437
15.12219,9,31.864807
15.12654,10,31.895678
17.141711,10,31.926195
19.144596,13,31.964919
15.597937,9,31.993425
19.886525,16,32.0514
15.163862,9,32.085394
15.775375,10,32.120928
17.305886,11,32.155514
15.633302,9,32.184286
15.864894,9,32.213931
20.628696,17,32.273494
16.886324,12,32.314544
15.850181,9,32.346026
18.511722,15,32.394778
19.518996,13,32.436296
15.968992,12,32.473978
16.023416,12,32.510548
16.110431,12,32.54778
18.048624,14,32.591258
20.414455,15,32.639258
17.313108,12,32.675571
23.101336,19,32.732877
17.224399,13,32.772909
15.934598,9,32.801039
17.786389,10,32.831319
20.938924,14,32.88201
17.709809,13,32.932508
15.598195,9,32.960846
15.274974,9,32.990846
15.674071,9,33.021282
14.24599,8,33.047651
18.580396,13,33.092832
15.849091,9,33.122603
22.456876,14,33.165141
15.184169,9,33.192493
20.561399,15,33.237844
18.784476,13,33.278371
16.833626,12,33.315696
20.805836,14,33.363944
16.105618,10,33.39405
16.282,12,33.431088
14.845129,9,33.458512
15.905288,9,33.486477
18.056142,15,33.532363
16.282365,12,33.569354
14.830101,10,33.598985
13.390244,7,33.621573
19.298948,12,33.658501
15.137234,9,33.686085
17.652794,12,33.723217
21.136145,14,33.764867
15.337024,9,33.791696
17.749688,12,33.827897
15.192011,9,33.854994
16.711406,12,33.899104
14.771818,10,33.930686
24.237475,19,33.987567
14.481705,8,34.012387
16.426487,11,34.046672
16.76866,12,34.082434
15.725029,13,34.123943
16.413135,12,34.159531
16.312534,10,34.189964
14.684395,9,34.217511
18.094147,12,34.253101
16.554423,10,34.282665
15.303374,10,34.31139
15.881844,11,34.351153
16.198498,12,34.386856
18.07722,13,34.426904
14.163003,9,34.453032
16.256771,11,34.485459
18.517349,11,34.518835
15.929843,10,34.549055
15.14777,10,34.578834
16.524321,12,34.617135
23.081805,17,34.66831
19.822871,15,34.712728
17.899648,12,34.748226
15.259074,9,34.774409
17.188442,10,34.803115
16.732274,11,34.837049
23.311864,19,34.898874
20.276143,17,34.951597
16.484181,10,34.981766
19.255718,13,35.02042
20.835943,17,35.070516
17.713999,11,35.104558
14.926745,9,35.132774
18.56235,14,35.174316
18.752045,13,35.215662
17.821165,14,35.260534
20.264461,16,35.315046
14.055176,8,35.338886
20.473227,13,35.384127
18.366805,12,35.421086
16.244519,11,35.454044
18.08857,15,35.499099
17.103384,11,35.532872
17.177062,11,35.567133
18.357138,14,35.610014
13.738444,9,35.639387
15.162527,11,35.673286
17.353852,12,35.709446
19.50689,13,35.751503
16.435684,11,35.784893
18.867279,13,35.825144
22.60204,17,35.877633
16.478024,10,35.909256
19.289285,14,35.957968
15.279312,11,35.992103
16.513217,13,36.033505
15.662498,10,36.064421
16.648722,12,36.101068
18.082596,11,36.134562
18.077805,12,36.171756
16.900739,10,36.203573
16.441484,11,36.237069
18.429631,13,36.277458
16.930429,10,36.307831
14.710045,9,36.335897
19.508515,15,36.386582
15.793118,10,36.417444
17.064549,11,36.46289
20.141837,13,36.511301
17.601377,12,36.550172
13.305721,8,36.574515
20.625604,12,36.611362
17.203578,12,36.648509
15.046538,8,36.673799
14.043716,9,36.701246
21.697259,15,36.747854
14.833794,9,36.775902
16.836667,10,36.806607
17.792107,11,36.840007
15.546537,10,36.869958
16.854039,10,36.9003
19.89176,16,36.954628
13.033219,7,36.975649
15.529814,11,37.009259
19.185402,11,37.043123
13.600764,7,37.064241
17.809884,16,37.11238
15.853782,10,37.144598
18.885737,14,37.187961
15.467914,9,37.215239
19.287626,13,37.255053
23.758608,16,37.303666
15.555465,9,37.332023
17.77802,13,37.371134
20.329142,14,37.418442
18.07212,12,37.454703
16.763334,12,37.49181
15.511876,8,37.516519
15.413403,10,37.54711
16.506378,11,37.58158
21.297148,15,37.626658
14.839362,9,37.653871
14.460098,8,37.678066
19.269751,14,37.720584
16.729925,10,37.751802
14.116304,9,37.779668
15.354375,9,37.807755
19.907504,16,37.857248
18.646533,14,37.900352
15.156882,8,37.925056
18.023412,15,37.978963
17.524682,10,38.010276
18.482189,13,38.050277
20.426616,16,38.0983
14.83762,10,38.129861
16.257989,13,38.175656
15.444802,10,38.211233
15.402469,14,38.259926
14.707757,9,38.291773
16.772869,12,38.331065
15.254638,9,38.365802
14.378312,9,38.399109
16.402634,12,38.436906
19.245032,13,38.476475
18.699132,12,38.513589
19.657177,15,38.558896
19.083363,13,38.597444
16.097648,9,38.625901
15.876397,8,38.650435
17.442956,13,38.689304
15.340456,9,38.716883
17.974395,13,38.756752
19.711651,15,38.8017
18.459649,12,38.838733
17.217634,11,38.872426
13.810537,7,38.894309
17.995974,14,38.936406
17.440716,12,38.972464
17.500473,11,39.016491
16.229115,10,39.047469
17.039772,12,39.081809
17.182137,10,39.111682
19.818247,14,39.154486
15.609876,10,39.183886
17.09822,11,39.217648
13.651107,10,39.248329
19.527424,14,39.289788
15.680431,11,39.323298
17.180866,11,39.357168
20.696757,14,39.405387
17.302155,12,39.44258
19.992978,16,39.491306
17.514118,12,39.528567
14.706606,8,39.552212
20.085499,17,39.602796
19.12841,15,39.648777
14.358816,8,39.673483
16.967354,13,39.713359
15.233099,11,39.74695
16.3706,10,39.776844
15.095937,13,39.815095
17.431472,11,39.847614
13.16654,8,39.872442
14.704582,9,39.90066
17.734355,11,39.934945
17.587174,11,39.967823
20.812719,16,40.023592
16.166781,11,40.058392
15.60301,12,40.094319
14.997849,9,40.121591
14.264623,8,40.146492
16.934735,14,40.188728
17.461841,11,40.222693
20.860963,14,40.264604
17.168059,10,40.294255
13.766949,8,40.318522
15.024668,9,40.346312
19.2606,15,40.39224
17.691614,12,40.435443
14.596486,9,40.463627
18.008542,12,40.500579
18.102854,11,40.533726
19.14914,13,40.572022
18.588148,11,40.604615
17.62052,14,40.646785
12.326638,7,40.66773
19.524676,16,40.715465
17.123808,11,40.749108
18.284022,11,40.782407
16.213126,9,40.809336
15.421746,10,40.841244
19.994306,13,40.881316
18.288056,12,40.918525
17.797174,10,40.948515
21.808434,18,41.002755
16.249418,11,41.043429
17.536194,13,41.081993
14.650747,9,41.109078
17.152366,11,41.144145
16.9384,11,41.177426
17.119732,10,41.207669
15.677422,11,41.23964
19.447917,13,41.279606
15.672115,10,41.309651
19.424327,15,41.354416
16.862652,10,41.384284
16.186911,10,41.414373
21.432808,17,41.471089
14.009175,9,41.498745
18.864323,11,41.533108
17.178481,12,41.570477
15.800388,11,41.603084
17.429694,12,41.639999
15.899578,11,41.672937
16.283729,9,41.699989
16.180597,11,41.736786
18.147511,13,41.782268
22.353933,16,41.830091
14.55278,9,41.857424
14.945348,10,41.88729
16.083299,11,41.921151
18.832676,13,41.959692
19.087922,15,42.004936
16.359998,11,42.038797
16.377277,11,42.079628
19.686074,16,42.126855
16.640392,10,42.157809
15.351599,9,42.184208
15.318819,9,42.211564
19.854599,15,42.257149
16.647926,11,42.290102
14.305356,8,42.314428
15.714363,11,42.347309
14.753454,11,42.380171
15.80273,10,42.409259
16.931452,12,42.450854
15.388994,8,42.475315
15.59424,9,42.502059
14.539934,12,42.538908
14.024782,8,42.563948
16.78978,12,42.60008
17.837005,13,42.639602
21.156042,15,42.684454
19.866248,14,42.725804
19.004894,16,42.773647
18.316023,12,42.809044
19.946894,14,42.851614
17.83807,11,42.884499
14.824583,9,42.911049
19.7997,14,42.953642
15.051713,8,42.977301
19.245814,14,43.019522
17.631191,11,43.051654
20.56777,15,43.104539
17.470996,13,43.145438
19.323092,13,43.185073
16.870363,11,43.218381
15.255494,10,43.24883
20.530266,15,43.293727
14.736053,9,43.32036
17.469403,12,43.357002
18.291787,13,43.395865
20.954432,16,43.448797
16.616009,12,43.48708
16.81856,10,43.517584
16.119609,9,43.544512
17.217067,13,43.584292
15.969273,10,43.614472
15.767207,9,43.642817
16.668349,11,43.675777
18.965069,16,43.724781
17.537122,14,43.767281
17.80094,11,43.801227
14.3745,8,43.825837
19.111734,14,43.867802
17.770166,11,43.900471
15.088514,9,43.927929
18.054088,11,43.960322
15.134043,9,43.986691
14.638934,10,44.020283
20.415951,16,44.067883
15.81963,9,44.100562
16.836913,11,44.134781
16.757054,11,44.168051
17.640938,12,44.208462
16.19094,10,44.238815
15.885398,10,44.274404
19.67927,15,44.324656
14.765914,9,44.352232
19.373284,13,44.392359
15.472137,10,44.422565
13.477935,8,44.446392
15.573584,11,44.485215
17.099629,11,44.519006
18.556182,11,44.552325
18.261403,13,44.591594
17.922885,12,44.629351
17.448718,12,44.665952
20.510721,14,44.70874
19.520017,13,44.748377
