# {"t_start": 1589491546.9316487, "env_id": "Walker2DBulletEnv-v0"} 
r,l,t
17.918199,13,2.81276
17.672464,12,2.852564
14.853865,9,2.88411
15.180986,9,2.91148
18.195237,13,2.95098
16.948357,12,2.992646
16.169852,10,3.023607
19.108842,13,3.06265
14.614822,9,3.089648
16.836299,11,3.122048
18.327395,14,3.170815
16.02658,11,3.203929
20.32411,13,3.242655
21.158936,14,3.29322
17.384027,10,3.323362
21.421168,14,3.366994
19.725233,15,3.421557
14.133985,9,3.449468
14.531701,9,3.477006
15.17779,12,3.51329
16.965914,12,3.549794
13.542427,9,3.577057
14.402858,10,3.608289
15.862125,11,3.642097
13.828934,7,3.665021
15.836649,11,3.698063
16.983761,10,3.727616
19.463373,14,3.771627
17.550245,12,3.808312
19.33033,14,3.850159
15.119616,9,3.877882
15.811321,11,3.911381
16.680492,11,3.944604
15.369672,11,3.981381
15.476337,11,4.017769
18.478708,11,4.051176
16.246747,14,4.094282
20.875772,15,4.138747
15.143468,9,4.166386
18.471259,12,4.205158
16.204815,11,4.238285
17.541967,11,4.272985
14.914089,9,4.30596
17.123913,11,4.338923
17.165993,13,4.378468
20.279093,12,4.414545
18.398758,12,4.450338
14.417635,9,4.477834
15.906509,10,4.508019
17.110876,12,4.544253
18.484839,15,4.588304
18.086161,12,4.624852
18.990311,12,4.661166
15.940825,11,4.693831
14.151795,9,4.720572
19.24138,14,4.763496
16.858667,9,4.790974
15.625931,12,4.829111
20.989954,14,4.871296
16.160621,12,4.909301
13.594505,11,4.944096
17.019421,10,4.975579
19.142792,13,5.021591
18.574828,14,5.065959
16.91998,10,5.0993
16.591556,10,5.13236
17.887578,11,5.167937
17.072398,11,5.201589
19.609331,13,5.247017
14.146434,8,5.283106
14.815875,9,5.320639
18.351193,12,5.357038
13.992168,7,5.378488
18.505581,12,5.414659
15.606682,10,5.445326
19.50423,13,5.48593
17.53256,12,5.523045
18.68307,14,5.565776
18.580198,14,5.60821
16.224515,11,5.642197
17.859959,15,5.687218
18.84026,16,5.735403
20.94534,16,5.783226
16.374421,11,5.817079
18.485399,13,5.856559
22.545715,16,5.905577
17.443058,12,5.941902
24.183304,17,5.992884
20.584651,14,6.041967
16.458181,9,6.069076
15.495855,10,6.099981
18.094411,15,6.145297
18.191371,12,6.183013
15.918382,11,6.217787
15.896053,9,6.2447
16.924938,11,6.277902
16.508912,10,6.308348
18.413547,11,6.351761
14.746966,9,6.381389
17.1939,10,6.411835
18.724599,13,6.450232
16.47123,13,6.490056
18.09807,14,6.533087
15.679123,10,6.56441
15.942411,10,6.595405
14.614078,9,6.624559
19.45748,14,6.668208
13.401846,7,6.690729
14.577321,9,6.720408
16.114149,10,6.753089
19.158747,16,6.800885
14.32378,8,6.825587
17.511429,11,6.859472
15.389842,11,6.893316
15.210225,10,6.923448
17.327111,11,6.956204
19.29089,13,6.996042
17.279794,12,7.037506
15.524048,10,7.067881
13.718307,10,7.103081
15.567516,9,7.134957
22.227412,18,7.193739
13.584262,9,7.220935
17.556271,12,7.258339
15.665418,13,7.296447
18.104809,13,7.340483
17.810146,14,7.386769
18.336541,13,7.426603
16.07083,11,7.460011
20.477623,14,7.502297
14.280756,8,7.527888
16.294365,11,7.560904
14.464976,9,7.587979
16.274832,10,7.618312
12.661505,7,7.639951
16.402763,12,7.677037
15.160108,9,7.70694
19.935691,15,7.755373
16.847999,11,7.791139
15.42309,10,7.822907
14.405247,11,7.855862
16.710119,11,7.889079
16.043243,11,7.923559
16.178629,9,7.95135
16.366792,11,7.98488
17.616769,11,8.018499
16.445544,11,8.057732
15.190413,10,8.088307
22.35069,15,8.13473
16.671977,10,8.16455
16.012466,13,8.204335
17.430853,12,8.241424
14.182114,9,8.269064
19.475472,15,8.314525
18.749175,16,8.371747
17.250074,10,8.402095
17.39088,11,8.435521
19.263253,15,8.481264
20.561919,15,8.52736
17.142585,11,8.56078
18.969298,13,8.599692
15.502932,9,8.627641
17.792959,11,8.661501
16.56539,10,8.691915
17.051903,11,8.724796
18.754426,13,8.76577
15.670116,10,8.796867
18.499846,14,8.838984
15.207617,9,8.866558
15.936834,9,8.893536
22.63843,18,8.94696
18.649446,12,8.983223
18.459868,11,9.016948
23.532166,18,9.077569
13.84791,8,9.102537
17.459836,13,9.1429
15.717668,10,9.173212
15.319114,9,9.199536
18.467024,12,9.235271
13.109171,8,9.25964
18.44026,12,9.297151
15.676126,8,9.322424
16.847285,12,9.358605
17.614849,12,9.401892
15.578061,10,9.432239
22.085326,17,9.484605
17.294994,12,9.521561
18.05196,12,9.558239
15.790194,10,9.589295
15.375722,9,9.617745
15.801458,11,9.652073
17.681656,11,9.685966
15.657074,10,9.717778
19.145991,13,9.759143
15.695478,11,9.79495
21.040572,15,9.844944
17.279425,11,9.881638
16.763741,10,9.914215
17.245593,11,9.948945
15.510559,9,9.978415
15.318657,8,10.002962
14.013121,8,10.028196
17.45373,11,10.066855
18.992409,15,10.11102
15.976666,10,10.141925
18.448516,13,10.181756
14.592563,9,10.209706
18.625003,12,10.245949
15.33478,10,10.27579
16.237841,10,10.306721
21.256702,16,10.354711
16.870185,12,10.392862
15.390046,9,10.426279
12.5169,11,10.459689
17.68315,11,10.493345
20.577453,14,10.535733
14.956097,9,10.563264
18.122532,11,10.596586
13.836581,8,10.620789
16.295946,10,10.651232
16.246534,11,10.684057
16.623121,11,10.717901
15.531675,9,10.744556
16.363353,10,10.775239
18.475196,12,10.811746
20.84699,17,10.863616
17.780888,12,10.899343
15.118386,12,10.93645
12.815008,10,10.966858
13.613436,8,10.99217
18.130889,15,11.037239
19.794092,16,11.09175
16.877938,12,11.128503
18.326426,13,11.174305
17.171075,10,11.20582
17.63262,13,11.24422
18.001352,16,11.292888
20.154745,13,11.333404
15.609111,9,11.361021
15.080272,10,11.392017
17.211011,12,11.435014
18.211882,15,11.481333
18.064415,11,11.515531
21.259518,14,11.557402
17.685973,12,11.593376
23.599201,20,11.654169
18.2419,11,11.687426
22.781443,19,11.747313
15.926687,10,11.781105
17.135876,14,11.82396
15.075918,9,11.851223
15.697177,9,11.879638
19.807702,17,11.929797
20.112838,16,11.979403
13.97755,8,12.00311
15.163997,9,12.03307
18.306094,13,12.075941
19.839908,15,12.125857
14.830581,10,12.15514
24.005193,17,12.207456
14.548688,9,12.235249
20.549329,16,12.283279
13.722034,9,12.311255
14.781168,8,12.334876
16.332131,9,12.362395
17.377492,9,12.390232
16.660333,10,12.420846
17.357591,11,12.463064
17.75975,13,12.502814
19.515685,12,12.539474
18.168433,13,12.579633
20.112597,15,12.626117
19.872476,13,12.664741
22.148724,16,12.713567
16.741027,10,12.743216
12.647618,9,12.770737
20.670848,16,12.82025
15.829167,10,12.851834
17.175834,11,12.886104
16.932766,11,12.918791
18.546194,13,12.957048
15.493719,10,12.988345
14.844563,8,13.013387
